section,group_num,student_id,tree_gps,_tree_gps_latitude,_tree_gps_longitude,_tree_gps_altitude,_tree_gps_precision,species,individual,color,fall,photo,meta/instanceID,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
TR,25,D,42.73019 -84.496752 254.16294860839844 65,42.73019,-84.496752,254.16294860839844,65,ACRU,20100048*11,0,0,http://classic.ona.io/api/v1/files/9273358?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-15_59_18.jpg,uuid:f4260e77-28c9-4e12-a1af-42a18b7b3462,34083373,f4260e77-28c9-4e12-a1af-42a18b7b3462,2018-09-05T19:59:30,,,201808291543,,,1,1,True,338971
MW,27,D,42.722093 -84.469143 262.74857330322266 5,42.722093,-84.469143,262.74857330322266,5,MEGL,20000146*05,0,35,http://classic.ona.io/api/v1/files/9280258?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-9_58_12.jpg,uuid:8e95c981-d895-405e-9f26-52f17c3f4a3f,34118311,8e95c981-d895-405e-9f26-52f17c3f4a3f,2018-09-06T13:59:37,,,201808291543,,,1,1,True,338971
MW,27,D,42.723314 -84.485517 261.10147857666016 5,42.723314,-84.485517,261.10147857666016,5,ACRU,CC8185*03,3,3,http://classic.ona.io/api/v1/files/9280873?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-10_12_55.jpg,uuid:eab89b1c-a02f-42fb-9bf3-1176b24631e6,34120798,eab89b1c-a02f-42fb-9bf3-1176b24631e6,2018-09-06T14:51:14,,,201808291543,,,1,1,True,338971
MW,27,D,42.730899 -84.480455 258.5577163696289 30,42.730899,-84.480455,258.5577163696289,30,MEGL,20080508*03,75,1,http://classic.ona.io/api/v1/files/9281785?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-11_12_17.jpg,uuid:27788463-9066-46c2-b1cb-84b6f36a1f5c,34124005,27788463-9066-46c2-b1cb-84b6f36a1f5c,2018-09-06T15:57:23,,,201808291543,,,1,1,True,338971
MW,27,D,42.733622 -84.482744 261.17840576171875 65,42.733622,-84.482744,261.17840576171875,65,FAGR,CC0139*01,35,5,http://classic.ona.io/api/v1/files/9282048?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-11_56_31.jpg,uuid:0d106afe-442f-4f71-81af-81a1fc465c16,34124581,0d106afe-442f-4f71-81af-81a1fc465c16,2018-09-06T16:10:46,,,201808291543,,,1,1,True,338971
MW,27,D,42.721966 -84.478113 261.486572265625 65,42.721966,-84.478113,261.486572265625,65,ACRU,20100048*09,0,0,http://classic.ona.io/api/v1/files/9282080?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-12_12_8.jpg,uuid:faae5931-bf49-441d-b3ab-ba07abea3f46,34124629,faae5931-bf49-441d-b3ab-ba07abea3f46,2018-09-06T16:12:43,,,201808291543,,,1,1,True,338971
MW,20,A,42.7243 84.4648 1979 1979,42.7243,84.4648,1979,1979,PIST,98P136*01,5,0,http://classic.ona.io/api/v1/files/9282109?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-12_10_1.jpg,uuid:131a2f3a-fd6f-4012-8755-f5ecd637f91c,34124678,131a2f3a-fd6f-4012-8755-f5ecd637f91c,2018-09-06T16:15:17,,,201808291543,,,1,1,True,338971
MW,20,A,42.7243 84.4648 1979 1979,42.7243,84.4648,1979,1979,PIST,CC5067*02,5,10,http://classic.ona.io/api/v1/files/9282129?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-12_17_9.jpg,uuid:426afb28-26ed-4b31-8965-0361b85df0c8,34124772,426afb28-26ed-4b31-8965-0361b85df0c8,2018-09-06T16:18:19,,,201808291543,,,1,1,True,338971
MW,33,B,42.72267 -84.478884 261.3848876953125 65,42.72267,-84.478884,261.3848876953125,65,ACRU,20100048*07,3,0,http://classic.ona.io/api/v1/files/9282649?filename=nemery1/attachments/338971_Form_BS162_2018_v2/A8CA4749-DCB9-41BA-BA29-9BDE88E6C2E3-13_43_14.jpeg,uuid:027e800e-df22-4a37-86c2-b756a715eb0d,34126977,027e800e-df22-4a37-86c2-b756a715eb0d,2018-09-06T17:53:14,,,201808291543,,,1,1,True,338971
TR,30,C,42.722174 -84.469167 248.60550689697266 5,42.722174,-84.469167,248.60550689697266,5,MEGL,20000146*06,0,10,http://classic.ona.io/api/v1/files/9282770?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-14_10_50.jpg,uuid:1ce7c641-4092-4cd0-82d4-061e69289994,34127369,1ce7c641-4092-4cd0-82d4-061e69289994,2018-09-06T18:11:02,,,201808291543,,,1,1,True,338971
TR,17,A,42.722057 -84.469574 261.25 65,42.722057,-84.469574,261.25,65,MEGL,20000146*06,0,10,http://classic.ona.io/api/v1/files/9282772?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-14_10_54.jpg,uuid:6cca8abd-c845-4f6d-a0f8-40c1e1bb95ed,34127514,6cca8abd-c845-4f6d-a0f8-40c1e1bb95ed,2018-09-06T18:12:35,,,201808291543,,,1,1,True,338971
TR,17,A,42.722007 -84.469545 261.25 65,42.722007,-84.469545,261.25,65,MEGL,20000146*03,0,20,http://classic.ona.io/api/v1/files/9282773?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-14_12_20.jpg,uuid:080dbe7a-960f-483c-9c1d-1668d021027c,34127542,080dbe7a-960f-483c-9c1d-1668d021027c,2018-09-06T18:12:40,,,201808291543,,,1,1,True,338971
TR,11,D,42.730212 -84.477546 258.18680572509766 5,42.730212,-84.477546,258.18680572509766,5,ACSA,CC6527*01,1,5,http://classic.ona.io/api/v1/files/9282916?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-14_43_56.jpg,uuid:5ea0ee52-2c5c-4790-8c67-d0f928c96aed,34131233,5ea0ee52-2c5c-4790-8c67-d0f928c96aed,2018-09-06T18:44:37,,,201808291543,,,1,1,True,338971
TR,11,D,42.729772 -84.477563 257.7586441040039 5,42.729772,-84.477563,257.7586441040039,5,ACSA,CC6530*01,1,5,http://classic.ona.io/api/v1/files/9283038?filename=nemery1/attachments/338971_Form_BS162_2018_v2/image-14_56_6.jpg,uuid:628255c8-2cf1-4d4a-9747-07a5b7d6f57d,34132090,628255c8-2cf1-4d4a-9747-07a5b7d6f57d,2018-09-06T18:56:22,,,201808291543,,,1,1,True,338971
