section,group_num,student_id,tree_gps,_tree_gps_latitude,_tree_gps_longitude,_tree_gps_altitude,_tree_gps_precision,species,individual,color,fall,photo,meta/instanceID,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_media_all_received,_xform_id
TR,25,A,42.722974 -84.473163 262.7532653808594 65,42.722974,-84.473163,262.7532653808594,65,ULMA,CC4662*01,19,80,http://classic.ona.io/api/v1/files/12953333?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_0_57.jpg,uuid:2cfea7a7-1c75-446a-ba7f-5adaad8fca65,51246239,2cfea7a7-1c75-446a-ba7f-5adaad8fca65,2019-09-10T17:01:50,,,201909070315,,,1,1,True,443338
TR,7,A,42.722804 -84.473091 229.3000030517578 10.574999809265137,42.722804,-84.473091,229.3000030517578,10.574999809265137,FAGR,20130268*02,69,96,http://classic.ona.io/api/v1/files/12953339?filename=nemery1/attachments/443338_Form_BS162_2019/15681348939332969045700487672430-13_1_40.jpg,uuid:dae916aa-fbcd-4aa2-af4d-a2debab576a1,51246245,dae916aa-fbcd-4aa2-af4d-a2debab576a1,2019-09-10T17:02:02,,,201909070315,,,1,1,True,443338
TR,32,A,42.722809 -84.473087 229.3000030517578 15.875,42.722809,-84.473087,229.3000030517578,15.875,PIST,CC5067*02,43,28,http://classic.ona.io/api/v1/files/12953340?filename=nemery1/attachments/443338_Form_BS162_2019/15681348912912286022647073958269-13_1_42.jpg,uuid:45c940f1-d9e0-483e-b1cc-32653dc71f26,51246246,45c940f1-d9e0-483e-b1cc-32653dc71f26,2019-09-10T17:02:03,,,201909070315,,,1,1,True,443338
MW,39,A,42.722992 -84.473103 263.7093811035156 65,42.722992,-84.473103,263.7093811035156,65,COFL,CC0192*01,10,60,http://classic.ona.io/api/v1/files/12953341?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_1_42.jpg,uuid:c3d256fe-3acd-4580-9a46-8189dde51a17,51246251,c3d256fe-3acd-4580-9a46-8189dde51a17,2019-09-10T17:02:10,,,201909070315,,,1,1,True,443338
TR,33,A,42.72303 -84.473017 261.2907409667969 65,42.72303,-84.473017,261.2907409667969,65,QUAL,CC0239*01,42,56,http://classic.ona.io/api/v1/files/12953342?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_1_49.jpg,uuid:455b8490-6123-4848-b29b-10a4bfb2a1d5,51246252,455b8490-6123-4848-b29b-10a4bfb2a1d5,2019-09-10T17:02:11,,,201909070315,,,1,1,True,443338
TR,41,E,42.722992 -84.473102 263.119140625 65,42.722992,-84.473102,263.119140625,65,MEGL,20060244*14,50,30,http://classic.ona.io/api/v1/files/12953343?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_1_47.jpg,uuid:cb72c537-5d9a-4549-baec-f6ab4293a829,51246254,cb72c537-5d9a-4549-baec-f6ab4293a829,2019-09-10T17:02:12,,,201909070315,,,1,1,True,443338
TR,35,B,42.723041 -84.473076 261.2200012207031 65,42.723041,-84.473076,261.2200012207031,65,COFL,CC1720*03,60,20,http://classic.ona.io/api/v1/files/12953344?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_1_39.jpg,uuid:a53d9880-b9de-4ae6-ac92-02bc6e51a476,51246255,a53d9880-b9de-4ae6-ac92-02bc6e51a476,2019-09-10T17:02:12,,,201909070315,,,1,1,True,443338
TR,7,D,42.722904 -84.473126 262.8580322265625 65,42.722904,-84.473126,262.8580322265625,65,ULMA,CC6248*01,70,20,http://classic.ona.io/api/v1/files/12953347?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_1_51.jpg,uuid:c755e116-1252-4aff-86bf-6517639f083a,51246256,c755e116-1252-4aff-86bf-6517639f083a,2019-09-10T17:02:12,,,201909070315,,,1,1,True,443338
TR,21,B,42.72282 -84.473118 229.3000030517578 13.904000282287598,42.72282,-84.473118,229.3000030517578,13.904000282287598,PLOC,CC6694*02,15,10,http://classic.ona.io/api/v1/files/12953348?filename=nemery1/attachments/443338_Form_BS162_2019/20190827_194305-13_1_41.jpg,uuid:cf2ae8b8-16d2-4676-b308-a818df1ac629,51246257,cf2ae8b8-16d2-4676-b308-a818df1ac629,2019-09-10T17:02:13,,,201909070315,,,1,1,True,443338
TR,49,C,42.722982 -84.473104 263.5796203613281 65,42.722982,-84.473104,263.5796203613281,65,PIST,CC4676*03,42,8,http://classic.ona.io/api/v1/files/12953349?filename=nemery1/attachments/443338_Form_BS162_2019/image-13_1_43.jpg,uuid:8f820249-0748-48a9-adbe-b8c77aad3b25,51246258,8f820249-0748-48a9-adbe-b8c77aad3b25,2019-09-10T17:02:13,,,201909070315,,,1,1,True,443338
