YEAR,WEEK,DATE,SPECIES,ACCESSION,LEAF COLOR,LEAF FALL
2022,2,9/8/22,"Acer rubrum
",20100046*07,20,4
2022,2,9/9/22,"Acer rubrum
",20100046*07,50,20
2022,3,9/12/22,"Acer rubrum
",20100046*07,5,5
2022,3,9/14/22,"Acer rubrum
",20100046*07,3,0
2022,3,9/15/22,"Acer rubrum
",20100046*07,30,0
2022,3,9/15/22,"Acer rubrum
",20100046*07,30,7
2022,3,9/16/22,"Acer rubrum
",20100046*07,20,8
2022,5,9/25/22,"Acer rubrum
",20100046*07,60,1
2022,5,9/28/22,"Acer rubrum
",20100046*07,50,20
2022,5,9/28/22,"Acer rubrum
",20100046*07,60,0
2022,5,9/29/22,"Acer rubrum
",20100046*07,60,10
2022,5,9/29/22,"Acer rubrum
",20100046*07,60,10
2022,5,9/29/22,"Acer rubrum
",20100046*07,50,20
2022,6,10/2/22,"Acer rubrum
",20100046*07,90,0
2022,6,10/5/22,"Acer rubrum
",20100046*07,65,0
2022,6,10/6/22,"Acer rubrum
",20100046*07,50,20
2022,6,10/6/22,"Acer rubrum
",20100046*07,75,15
2022,6,10/7/22,"Acer rubrum
",20100046*07,70,15
2022,7,10/12/22,"Acer rubrum
",20100046*07,85,0
2022,7,10/13/22,"Acer rubrum
",20100046*07,80,20
2022,7,10/15/22,"Acer rubrum
",20100046*07,50,40
2022,8,10/16/22,"Acer rubrum
",20100046*07,78,20
2022,8,10/16/22,"Acer rubrum
",20100046*07,95,35
2022,8,10/19/22,"Acer rubrum
",20100046*07,100,30
2022,8,10/19/22,"Acer rubrum
",20100046*07,100,15
2022,8,10/20/22,"Acer rubrum
",20100046*07,90,30
2022,8,10/20/22,"Acer rubrum
",20100046*07,97,40
2022,8,10/20/22,"Acer rubrum
",20100046*07,97,40
2022,8,10/21/22,"Acer rubrum
",20100046*07,100,55
2022,9,10/26/22,"Acer rubrum
",20100046*07,100,99
2022,9,10/27/22,"Acer rubrum
",20100046*07,100,95
2022,9,10/27/22,"Acer rubrum
",20100046*07,100,98
2022,9,10/28/22,"Acer rubrum
",20100046*07,90,30
2022,9,10/29/22,"Acer rubrum
",20100046*07,100,98
2022,10,11/2/22,"Acer rubrum
",20100046*07,0,100
2022,10,11/2/22,"Acer rubrum
",20100046*07,100,100
2022,10,11/3/22,"Acer rubrum
",20100046*07,100,99
2022,10,11/3/22,"Acer rubrum
",20100046*07,100,100
2022,10,11/4/22,"Acer rubrum
",20100046*07,100,100
2022,11,11/8/22,"Acer rubrum
",20100046*07,0,100
2022,11,11/9/22,"Acer rubrum
",20100046*07,100,100
2022,11,11/10/22,"Acer rubrum
",20100046*07,100,100
2022,11,11/12/22,"Acer rubrum
",20100046*07,100,100
2022,12,11/13/22,"Acer rubrum
",20100046*07,100,100
2022,12,11/15/22,"Acer rubrum
",20100046*07,100,100
2022,12,11/17/22,"Acer rubrum
",20100046*07,100,100
2022,12,11/18/22,"Acer rubrum
",20100046*07,100,100
2022,13,11/20/22,"Acer rubrum
",20100046*07,100,100
2022,13,11/26/22,"Acer rubrum
",20100046*07,0,100
2022,14,11/27/22,"Acer rubrum
",20100046*07,100,100
2022,14,11/29/22,"Acer rubrum
",20100046*07,100,100
2022,14,12/2/22,"Acer rubrum
",20100046*07,0,100
2022,14,12/3/22,"Acer rubrum
",20100046*07,100,100
2022,15,12/4/22,"Acer rubrum
",20100046*07,100,100
2022,4,9/21/22,"Acer rubrum
",20100046*07,5,0
2022,4,9/22/22,"Acer rubrum
",20100046*07,35,0
2022,4,9/22/22,"Acer rubrum
",20100046*07,40,10
2022,4,9/23/22,"Acer rubrum
",20100046*07,10,5
2022,2,9/8/22,"Acer rubrum
",20100046*08,7,10
2022,2,9/8/22,"Acer rubrum
",20100046*08,2,2
2022,2,9/9/22,"Acer rubrum
",20100046*08,0,0
2022,3,9/11/22,"Acer rubrum
",20100046*08,7,0
2022,3,9/13/22,"Acer rubrum
",20100046*08,5,0
2022,3,9/13/22,"Acer rubrum
",20100046*08,5,0
2022,3,9/14/22,"Acer rubrum
",20100046*08,5,0
2022,3,9/15/22,"Acer rubrum
",20100046*08,40,15
2022,3,9/15/22,"Acer rubrum
",20100046*08,5,2
2022,3,9/16/22,"Acer rubrum
",20100046*08,0,0
2022,5,9/27/22,"Acer rubrum
",20100046*08,60,10
2022,5,9/27/22,"Acer rubrum
",20100046*08,40,5
2022,5,9/27/22,"Acer rubrum
",20100046*08,30,5
2022,5,9/28/22,"Acer rubrum
",20100046*08,22,5
2022,5,9/29/22,"Acer rubrum
",20100046*08,73,17
2022,5,9/30/22,"Acer rubrum
",20100046*08,90,20
2022,6,10/4/22,"Acer rubrum
",20100046*08,95,5
2022,6,10/4/22,"Acer rubrum
",20100046*08,90,5
2022,6,10/4/22,"Acer rubrum
",20100046*08,80,5
2022,6,10/6/22,"Acer rubrum
",20100046*08,100,17
2022,6,10/6/22,"Acer rubrum
",20100046*08,85,15
2022,6,10/7/22,"Acer rubrum
",20100046*08,55,30
2022,7,10/11/22,"Acer rubrum
",20100046*08,100,35
2022,7,10/11/22,"Acer rubrum
",20100046*08,100,55
2022,7,10/11/22,"Acer rubrum
",20100046*08,100,35
2022,7,10/13/22,"Acer rubrum
",20100046*08,100,87
2022,7,10/14/22,"Acer rubrum
",20100046*08,100,80
2022,7,10/14/22,"Acer rubrum
",20100046*08,75,5
2022,7,10/14/22,"Acer rubrum
",20100046*08,100,3
2022,8,10/18/22,"Acer rubrum
",20100046*08,100,90
2022,8,10/18/22,"Acer rubrum
",20100046*08,100,90
2022,8,10/20/22,"Acer rubrum
",20100046*08,100,95
2022,8,10/20/22,"Acer rubrum
",20100046*08,100,97
2022,9,10/26/22,"Acer rubrum
",20100046*08,100,100
2022,9,10/27/22,"Acer rubrum
",20100046*08,100,99
2022,9,10/27/22,"Acer rubrum
",20100046*08,0,100
2022,9,10/27/22,"Acer rubrum
",20100046*08,100,99
2022,9,10/28/22,"Acer rubrum
",20100046*08,5,95
2022,10,10/30/22,"Acer rubrum
",20100046*08,100,99
2022,10,11/1/22,"Acer rubrum
",20100046*08,0,0
2022,10,11/1/22,"Acer rubrum
",20100046*08,100,99
2022,10,11/2/22,"Acer rubrum
",20100046*08,100,99
2022,10,11/3/22,"Acer rubrum
",20100046*08,100,100
2022,10,11/3/22,"Acer rubrum
",20100046*08,100,99
2022,10,11/4/22,"Acer rubrum
",20100046*08,0,100
2022,11,11/7/22,"Acer rubrum
",20100046*08,0,100
2022,11,11/7/22,"Acer rubrum
",20100046*08,0,100
2022,11,11/10/22,"Acer rubrum
",20100046*08,100,100
2022,11,11/10/22,"Acer rubrum
",20100046*08,100,100
2022,11,11/11/22,"Acer rubrum
",20100046*08,100,100
2022,11,11/11/22,"Acer rubrum
",20100046*08,0,100
2022,12,11/15/22,"Acer rubrum
",20100046*08,100,100
2022,12,11/15/22,"Acer rubrum
",20100046*08,0,100
2022,12,11/16/22,"Acer rubrum
",20100046*08,0,100
2022,12,11/17/22,"Acer rubrum
",20100046*08,100,100
2022,12,11/17/22,"Acer rubrum
",20100046*08,0,0
2022,12,11/18/22,"Acer rubrum
",20100046*08,100,100
2022,13,11/21/22,"Acer rubrum
",20100046*08,0,0
2022,13,11/26/22,"Acer rubrum
",20100046*08,100,100
2022,14,11/28/22,"Acer rubrum
",20100046*08,0,100
2022,14,12/1/22,"Acer rubrum
",20100046*08,100,100
2022,14,12/1/22,"Acer rubrum
",20100046*08,0,100
2022,14,12/2/22,"Acer rubrum
",20100046*08,0,0
2022,4,9/20/22,"Acer rubrum
",20100046*08,5,2
2022,4,9/20/22,"Acer rubrum
",20100046*08,15,5
2022,4,9/20/22,"Acer rubrum
",20100046*08,10,0
2022,4,9/22/22,"Acer rubrum
",20100046*08,40,15
2022,4,9/22/22,"Acer rubrum
",20100046*08,10,2
2022,4,9/23/22,"Acer rubrum
",20100046*08,50,0
2022,2,9/7/22,"Acer rubrum
",20100048*07,0,0
2022,3,9/11/22,"Acer rubrum
",20100048*07,1,1
2022,3,9/14/22,"Acer rubrum
",20100048*07,1.5,0.2
2022,3,9/14/22,"Acer rubrum
",20100048*07,0,0
2022,3,9/17/22,"Acer rubrum
",20100048*07,0,0
2022,3,9/17/22,"Acer rubrum
",20100048*07,3,1
2022,5,9/28/22,"Acer rubrum
",20100048*07,7,2
2022,5,9/28/22,"Acer rubrum
",20100048*07,10,3
2022,5,9/29/22,"Acer rubrum
",20100048*07,17,0
2022,5,10/1/22,"Acer rubrum
",20100048*07,9,1
2022,6,10/3/22,"Acer rubrum
",20100048*07,12,5
2022,6,10/5/22,"Acer rubrum
",20100048*07,20,10
2022,6,10/6/22,"Acer rubrum
",20100048*07,26,2
2022,6,10/8/22,"Acer rubrum
",20100048*07,10,5
2022,7,10/12/22,"Acer rubrum
",20100048*07,25,13
2022,7,10/12/22,"Acer rubrum
",20100048*07,45,15
2022,7,10/15/22,"Acer rubrum
",20100048*07,30,12
2022,8,10/19/22,"Acer rubrum
",20100048*07,95,30
2022,8,10/19/22,"Acer rubrum
",20100048*07,65,20
