Latitude: 42.7257  Longitude: -84.4777,,,,,,,,,,,,,
X & Y on Lambert Conformal Conic: 1205230.14 136370.46,,,,,,,,,,,,,
Tile: 11928,,,,,,,,,,,,,
Elevation: 260 meters,,,,,,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),mean_temp,gdd_tf,gdd,temp_diff,spring_precip
2015,1,32120.98,0,170.71,0,-1.51,-9.41,299.64,-5.46,FALSE,0,7.9,56.51
2015,2,32167.03,2.33,135.46,2.33,0.94,-6.45,376.99,-2.755,FALSE,0,7.39,56.51
2015,3,32216.85,13.6,115.43,2.14,0.43,-5.54,404.25,-2.555,FALSE,0,5.97,56.51
2015,4,32270.39,3.05,100.61,1.66,0.22,-4.84,426.27,-2.31,FALSE,0,5.06,56.51
2015,5,32327.61,1.43,132.49,3.09,-10.55,-15.37,184.98,-12.96,FALSE,0,4.82,56.51
2015,6,32388.47,0.9,185.44,3.98,-8.32,-15.54,182.39,-11.93,FALSE,0,7.22,56.51
2015,7,32452.92,0,120.93,3.98,-11.61,-15.9,177,-13.755,FALSE,0,4.29,56.51
2015,8,32520.92,2.2,154.61,6.18,-10.03,-18.25,145.13,-14.14,FALSE,0,8.22,56.51
2015,9,32592.42,0.68,218.58,6.86,-8.56,-17.53,154.24,-13.045,FALSE,0,8.97,56.51
2015,10,32667.37,0,249.26,6.86,-5.95,-17.65,152.73,-11.8,FALSE,0,11.7,56.51
2015,11,32745.72,3.68,198.58,10.55,-0.49,-14.55,197.86,-7.52,FALSE,0,14.06,56.51
2015,12,32827.4,0,154.99,10.55,-2.82,-8.35,325.52,-5.585,FALSE,0,5.53,56.51
2015,13,32912.37,0,251.93,10.55,-8.93,-20.11,123.72,-14.52,FALSE,0,11.18,56.51
2015,14,33000.57,0,284.57,10.55,-6.48,-24.59,83.17,-15.535,FALSE,0,18.11,56.51
2015,15,33091.94,0,286.01,10.55,-0.77,-19.56,129.72,-10.165,FALSE,0,18.79,56.51
2015,16,33186.42,0,220.72,10.55,-1.69,-10.17,282.19,-5.93,FALSE,0,8.48,56.51
2015,17,33283.95,1.23,281.19,11.77,6.91,-8.97,310.21,-1.03,FALSE,0,15.88,56.51
2015,18,33384.46,0,196.5,11.02,2.89,-4.22,447,-0.665,FALSE,0,7.11,56.51
